| Key | SC Code | Description | Duration (ms) |
| ' | 079 | ' | 17 |
| end | 04F | end | 4 |
| 4 | 04B | 4 | 23 |
| num lock | 045 | num lock | 26 |
| \ | 02B | \ | 42 |
| None | 073 | None | 43 |
| 2 | 050 | 2 | 38 |
| ' | 07D | ' | 39 |
| ' | 079 | ' | 43 |
| 0 | 052 | 0 | 25 |
| 5 | 04C | 5 | 15 |
| 1 | 04F | 1 | 16 |
| 6 | 04D | 6 | 8 |
| \ | 02B | \ | 8 |
| None | 073 | None | 7 |
| ' | 07D | ' | 18 |
| insert | 052 | insert | 27 |
| left | 04B | left | 29 |
| clear | 04C | clear | 32 |
| num lock | 045 | num lock | 33 |
| right | 04D | right | 27 |
| end | 04F | end | 28 |
| down | 050 | down | 28 |
| ' | 079 | ' | 27 |
| None | 073 | None | 14 |
| \ | 02B | \ | 90 |
| ' | 07D | ' | 110 |
| 4 | 04B | 4 | 28 |
| 5 | 04C | 5 | 28 |
| 0 | 052 | 0 | 31 |
| num lock | 045 | num lock | 31 |
| 6 | 04D | 6 | 30 |
| 1 | 04F | 1 | 32 |
| 2 | 050 | 2 | 34 |
| ' | 079 | ' | 25 |
| None | 073 | None | 26 |
| left | 04B | left | 48 |
| insert | 052 | insert | 42 |
| clear | 04C | clear | 38 |
| num lock | 045 | num lock | 33 |
| right | 04D | right | 37 |
| end | 04F | end | 77 |
| down | 050 | down | 97 |
| \ | 02B | \ | 98 |
| None | 073 | None | 77 |
| ' | 07D | ' | 33 |
| ' | 079 | ' | 23 |
| insert | 052 | insert | 6 |
| left | 04B | left | 81 |
| end | 04F | end | 65 |
| down | 050 | down | 75 |
| \ | 02B | \ | 79 |
| None | 073 | None | 74 |
| clear | 04C | clear | 55 |
| ' | 07D | ' | 25 |
| ' | 079 | ' | 29 |
| 6 | 04D | 6 | 28 |
| num lock | 045 | num lock | 44 |
| 0 | 052 | 0 | 54 |
| \ | 02B | \ | 60 |
| 4 | 04B | 4 | 53 |
| None | 073 | None | 50 |
| 1 | 04F | 1 | 62 |
| 2 | 050 | 2 | 81 |
| ' | 07D | ' | 56 |
| ' | 079 | ' | 10 |
| 5 | 04C | 5 | 21 |
| 4 | 04B | 4 | 25 |
| 1 | 04F | 1 | 19 |
| None | 073 | None | 18 |
| 6 | 04D | 6 | 13 |
| 2 | 050 | 2 | 13 |
| ' | 07D | ' | 19 |
| 0 | 052 | 0 | 19 |
| \ | 02B | \ | 28 |
| ' | 079 | ' | 30 |
| num lock | 045 | num lock | 29 |
| None | 073 | None | 25 |
| left | 04B | left | 27 |
| clear | 04C | clear | 28 |
| insert | 052 | insert | 29 |
| right | 04D | right | 29 |
| end | 04F | end | 27 |
| down | 050 | down | 25 |
| \ | 02B | \ | 26 |
| ' | 07D | ' | 24 |
| ' | 079 | ' | 22 |
| None | 073 | None | 28 |
| 4 | 04B | 4 | 28 |
| num lock | 045 | num lock | 30 |
| 0 | 052 | 0 | 27 |
| 1 | 04F | 1 | 28 |
| 2 | 050 | 2 | 28 |
| \ | 02B | \ | 27 |
| ' | 07D | ' | 30 |
| 5 | 04C | 5 | 30 |
| 6 | 04D | 6 | 30 |
| ' | 079 | ' | 24 |
| left | 04B | left | 27 |
| num lock | 045 | num lock | 25 |
| None | 073 | None | 25 |
| end | 04F | end | 26 |
| \ | 02B | \ | 24 |
| down | 050 | down | 29 |
| clear | 04C | clear | 25 |
| page down | 051 | page down | 25 |
| / | 035 | / | 25 |
| home | 047 | home | 26 |
| 6 | 04D | 6 | 26 |
| 1 | 04F | 1 | 25 |
| 2 | 050 | 2 | 25 |
| num lock | 045 | num lock | 26 |
| 0 | 052 | 0 | 25 |
| 3 | 051 | 3 | 23 |
| ctrl | 01D | ctrl | 25 |
| esc | 001 | esc | 24 |
| ! | 002 | ! | 30 |
| ~ | 029 | ~ | 36 |
| tab | 00F | tab | 37 |
| caps lock | 03A | caps lock | 36 |
| c | 02E | c | 38 |
| shift | 02A | shift | 36 |
| tab | 00F | tab | 63 |
| caps lock | 03A | caps lock | 75 |
| esc | 001 | esc | 121 |
| ! | 002 | ! | 130 |
| C | 02E | C | 91 |
| ctrl | 01D | ctrl | 167 |
| shift | 02A | shift | 116 |
| ` | 029 | ` | 174 |
| ! | 002 | ! | 80 |
| ~ | 029 | ~ | 25 |
| tab | 00F | tab | 152 |
| caps lock | 03A | caps lock | 149 |
| c | 02E | c | 133 |
| ctrl | 01D | ctrl | 88 |
| shift | 02A | shift | 167 |
| esc | 001 | esc | 189 |
| esc | 001 | esc | 11 |
| ~ | 029 | ~ | 30 |
| ! | 002 | ! | 60 |
| tab | 00F | tab | 52 |
| caps lock | 03A | caps lock | 48 |
| ctrl | 01D | ctrl | 48 |
| shift | 02A | shift | 51 |
| c | 02E | c | 62 |
| c | 02E | c | 3 |
| caps lock | 03A | caps lock | 12 |
| shift | 02A | shift | 16 |
| esc | 001 | esc | 58 |
| ` | 029 | ` | 40 |
| 1 | 002 | 1 | 71 |
| ctrl | 01D | ctrl | 69 |
| tab | 00F | tab | 82 |
| esc | 001 | esc | 29 |
| ! | 002 | ! | 29 |
| ~ | 029 | ~ | 25 |
| tab | 00F | tab | 23 |
| caps lock | 03A | caps lock | 67 |
| C | 02E | C | 86 |
| ctrl | 01D | ctrl | 53 |
| shift | 02A | shift | 82 |
| esc | 001 | esc | 29 |
| ! | 002 | ! | 20 |
| ~ | 029 | ~ | 25 |
| tab | 00F | tab | 23 |
| caps lock | 03A | caps lock | 27 |
| c | 02E | c | 25 |
| ctrl | 01D | ctrl | 32 |
| shift | 02A | shift | 47 |
| esc | 001 | esc | 436 |
| 1 | 002 | 1 | 445 |
| ` | 029 | ` | 59 |
| tab | 00F | tab | 82 |
| caps lock | 03A | caps lock | 491 |
| C | 02E | C | 505 |
| 1 | 002 | 1 | 58 |
| ctrl | 01D | ctrl | 654 |
| esc | 001 | esc | 123 |
| tab | 00F | tab | 86 |
| ` | 029 | ` | 145 |
| caps lock | 03A | caps lock | 153 |
| c | 02E | c | 164 |
| shift | 02A | shift | 804 |
| 1 | 002 | 1 | 124 |
| ctrl | 01D | ctrl | 72 |
| esc | 001 | esc | 73 |
| ` | 029 | ` | 110 |
| tab | 00F | tab | 203 |
| ! | 002 | ! | 97 |
| caps lock | 03A | caps lock | 125 |
| c | 02E | c | 140 |
| ctrl | 01D | ctrl | 110 |
| shift | 02A | shift | 171 |
| esc | 001 | esc | 119 |
| ` | 029 | ` | 102 |
| esc | 001 | esc | 28 |
| ! | 002 | ! | 104 |
| ~ | 029 | ~ | 31 |
| tab | 00F | tab | 122 |
| caps lock | 03A | caps lock | 97 |
| C | 02E | C | 106 |
| ctrl | 01D | ctrl | 97 |
| shift | 02A | shift | 71 |
| tab | 00F | tab | 16 |
| caps lock | 03A | caps lock | 16 |
| c | 02E | c | 14 |
| shift | 02A | shift | 18 |
| ctrl | 01D | ctrl | 17 |
| esc | 001 | esc | 39 |
| ` | 029 | ` | 41 |
| 1 | 002 | 1 | 46 |
| C | 02E | C | 103 |
| caps lock | 03A | caps lock | 156 |
| shift | 02A | shift | 149 |
| ctrl | 01D | ctrl | 122 |
| esc | 001 | esc | 142 |
| ` | 029 | ` | 146 |
| 1 | 002 | 1 | 142 |
| tab | 00F | tab | 273 |
| esc | 001 | esc | 25 |
| ! | 002 | ! | 37 |
| ~ | 029 | ~ | 33 |
| tab | 00F | tab | 45 |
| caps lock | 03A | caps lock | 91 |
| shift | 02A | shift | 78 |
| C | 02E | C | 71 |
| ctrl | 01D | ctrl | 67 |
| esc | 001 | esc | 42 |
| ! | 002 | ! | 50 |
| ~ | 029 | ~ | 47 |
| tab | 00F | tab | 55 |
| C | 02E | C | 69 |
| caps lock | 03A | caps lock | 73 |
| esc | 001 | esc | 31 |
| ~ | 029 | ~ | 35 |
| ! | 002 | ! | 47 |
| tab | 00F | tab | 66 |
| caps lock | 03A | caps lock | 80 |
| c | 02E | c | 89 |
| shift | 02A | shift | 175 |
| ctrl | 01D | ctrl | 190 |
| esc | 001 | esc | 1838 |
| ! | 002 | ! | 1850 |
| ~ | 029 | ~ | 1843 |
| tab | 00F | tab | 1842 |
| caps lock | 03A | caps lock | 1844 |
| ctrl | 01D | ctrl | 64 |
| C | 02E | C | 1927 |
| shift | 02A | shift | 68 |
| esc | 001 | esc | 71 |
| 1 | 002 | 1 | 67 |
| ` | 029 | ` | 59 |
| tab | 00F | tab | 60 |
| caps lock | 03A | caps lock | 59 |
| esc | 001 | esc | 76 |
| shift | 02A | shift | 122 |
| ctrl | 01D | ctrl | 118 |
| 1 | 002 | 1 | 118 |
| ` | 029 | ` | 79 |
| tab | 00F | tab | 116 |
| c | 02E | c | 237 |
| caps lock | 03A | caps lock | 168 |
| shift | 02A | shift | 91 |
| ctrl | 01D | ctrl | 88 |
| 1 | 002 | 1 | 86 |
| tab | 00F | tab | 31 |
| esc | 001 | esc | 165 |
| ` | 029 | ` | 120 |
| ctrl | 01D | ctrl | 9 |
| C | 02E | C | 51 |
| caps lock | 03A | caps lock | 45 |
| shift | 02A | shift | 36 |
| 1 | 002 | 1 | 44 |
| ` | 029 | ` | 21 |
| esc | 001 | esc | 51 |
| tab | 00F | tab | 78 |
| caps lock | 03A | caps lock | 29 |
| c | 02E | c | 51 |
| shift | 02A | shift | 50 |
| ctrl | 01D | ctrl | 91 |
| esc | 001 | esc | 9 |
| tab | 00F | tab | 69 |
| caps lock | 03A | caps lock | 55 |
| ! | 002 | ! | 115 |
| ctrl | 01D | ctrl | 28 |
| C | 02E | C | 40 |
| shift | 02A | shift | 24 |
| ` | 029 | ` | 108 |
| esc | 001 | esc | 28 |
| ctrl | 01D | ctrl | 12 |
| esc | 001 | esc | 3 |
| ! | 002 | ! | 21 |
| tab | 00F | tab | 37 |
| c | 02E | c | 21 |
| shift | 02A | shift | 28 |
| ` | 029 | ` | 32 |
| caps lock | 03A | caps lock | 64 |
| esc | 001 | esc | 129 |
| ctrl | 01D | ctrl | 135 |
| ! | 002 | ! | 128 |
| caps lock | 03A | caps lock | 16 |
| ~ | 029 | ~ | 23 |
| C | 02E | C | 54 |
| ! | 002 | ! | 20 |
| tab | 00F | tab | 119 |
| caps lock | 03A | caps lock | 23 |
| shift | 02A | shift | 100 |
| C | 02E | C | 21 |
| ctrl | 01D | ctrl | 44 |
| esc | 001 | esc | 58 |
| ` | 029 | ` | 35 |
| C | 02E | C | 85 |
| esc | 001 | esc | 922 |
| ~ | 029 | ~ | 905 |
| ! | 002 | ! | 947 |
