| Key | SC Code | ASCII | Description | Duration (ms) |
| / | 035 | 53 | / | 184 |
| * | 037 | 55 | * | 192 |
| - | 04A | 74 | - | 257 |
| right shift | 236 | N/A | right shift | 0 |
| right shift | 236 | N/A | right shift | 2 |
| right shift | 236 | N/A | right shift | 2 |
| home | 047 | 71 | home | 154 |
| right shift | 236 | N/A | right shift | 1 |
| right shift | 236 | N/A | right shift | 2 |
| up | 048 | 72 | up | 183 |
| right shift | 236 | N/A | right shift | 2 |
| page up | 049 | 73 | page up | 175 |
| right shift | 236 | N/A | right shift | 2 |
| home | 047 | 71 | home | 124 |
| right shift | 236 | N/A | right shift | 145 |
| right shift | 236 | N/A | right shift | 2 |
| right shift | 236 | N/A | right shift | 2 |
| up | 048 | 72 | up | 103 |
| right shift | 236 | N/A | right shift | 2 |
| right | 04D | 77 | right | 183 |
| right shift | 236 | N/A | right shift | 1 |
| right shift | 236 | N/A | right shift | 2 |
| right shift | 236 | N/A | right shift | 2 |
| left | 04B | 75 | left | 138 |
| right shift | 236 | N/A | right shift | 2 |
| right shift | 236 | N/A | right shift | 3 |
| clear | 04C | 76 | clear | 177 |
| right shift | 236 | N/A | right shift | 2 |
| right | 04D | 77 | right | 184 |
| right shift | 036 | 54 | right shift | 672 |
| 1 | 04F | 79 | 1 | 176 |
| 2 | 050 | 80 | 2 | 176 |
| 1 | 04F | 79 | 1 | 56 |
| 3 | 051 | 81 | 3 | 240 |
| right shift | 236 | N/A | right shift | 3144 |
| delete | 053 | 83 | delete | 102 |
| right shift | 236 | N/A | right shift | 3416 |
| insert | 052 | 82 | insert | 62 |
| enter | 01C | 28 | enter | 48 |
| right shift | 036 | 54 | right shift | 1254 |
| right ctrl | 01D | 29 | right ctrl | 120 |
| menu | 05D | 93 | menu | 136 |
| alt gr | 21D | N/A | alt gr | 80 |
| / | 035 | 53 | / | 161 |
| . | 034 | 52 | . | 248 |
| ? | 035 | 53 | ? | 152 |
| > | 034 | 52 | > | 79 |
| < | 033 | 51 | < | 112 |
| M | 032 | 50 | M | 264 |
| right shift | 036 | 54 | right shift | 1272 |
| , | 033 | 51 | , | 224 |
| . | 034 | 52 | . | 64 |
| / | 035 | 53 | / | 112 |
| / | 035 | 53 | / | 160 |
| . | 034 | 52 | . | 72 |
| right shift | 036 | 54 | right shift | 256 |
| ; | 027 | 39 | ; | 122 |
| right shift | 036 | 54 | right shift | 192 |
| backspace | 00E | 14 | backspace | 56 |
| , | 033 | 51 | , | 64 |
| space | 039 | 57 | space | 120 |
| t | 014 | 20 | t | 64 |
| h | 023 | 35 | h | 94 |
| e | 012 | 18 | e | 88 |
| s | 01F | 31 | s | 104 |
| e | 012 | 18 | e | 104 |
| space | 039 | 57 | space | 104 |
| a | 01E | 30 | a | 166 |
| r | 013 | 19 | r | 152 |
| e | 012 | 18 | e | 120 |
| space | 039 | 57 | space | 120 |
| b | 030 | 48 | b | 72 |
| a | 01E | 30 | a | 144 |
| c | 02E | 46 | c | 112 |
| k | 025 | 37 | k | 104 |
| t | 014 | 20 | t | 120 |
| i | 017 | 23 | i | 104 |
| c | 02E | 46 | c | 128 |
| k | 025 | 37 | k | 78 |
| , | 033 | 51 | , | 72 |
| space | 039 | 57 | space | 120 |
| t | 014 | 20 | t | 120 |
| i | 017 | 23 | i | 80 |
| l | 026 | 38 | l | 88 |
| d | 020 | 32 | d | 56 |
| e | 012 | 18 | e | 120 |
| space | 039 | 57 | space | 88 |
| backspace | 00E | 14 | backspace | 80 |
| , | 033 | 51 | , | 96 |
| space | 039 | 57 | space | 120 |
| d | 020 | 32 | d | 96 |
| o | 018 | 24 | o | 64 |
| l | 026 | 38 | l | 56 |
| l | 026 | 38 | l | 88 |
| a | 01E | 30 | a | 184 |
| r | 013 | 19 | r | 128 |
| space | 039 | 57 | space | 104 |
| s | 01F | 31 | s | 144 |
| i | 017 | 23 | i | 80 |
| g | 022 | 34 | g | 104 |
| n | 031 | 49 | n | 72 |
| space | 039 | 57 | space | 80 |
| backspace | 00E | 14 | backspace | 56 |
| , | 033 | 51 | , | 104 |
| space | 039 | 57 | space | 120 |
| p | 019 | 25 | p | 112 |
| e | 012 | 18 | e | 112 |
| r | 013 | 19 | r | 96 |
| c | 02E | 46 | c | 112 |
| e | 012 | 18 | e | 144 |
| n | 031 | 49 | n | 80 |
| t | 014 | 20 | t | 102 |
| space | 039 | 57 | space | 104 |
| s | 01F | 31 | s | 120 |
| i | 017 | 23 | i | 72 |
| g | 022 | 34 | g | 96 |
| n | 031 | 49 | n | 81 |
| , | 033 | 51 | , | 80 |
| space | 039 | 57 | space | 120 |
| e | 012 | 18 | e | 160 |
| t | 014 | 20 | t | 72 |
| backspace | 00E | 14 | backspace | 56 |
| backspace | 00E | 14 | backspace | 72 |
| backspace | 00E | 14 | backspace | 72 |
| backspace | 00E | 14 | backspace | 48 |
| space | 039 | 57 | space | 104 |
| e | 012 | 18 | e | 144 |
| t | 014 | 20 | t | 88 |
| c | 02E | 46 | c | 87 |
