| Key | SC Code | ASCII | Description | Duration (ms) |
| --- | ------- | ----- | ----------- | ------------- |
| 1 | 002 | 2 | 1 | 89 |
| ! | 002 | 2 | ! | 80 |
| @ | 003 | 3 | @ | 128 |
| # | 004 | 4 | # | 121 |
| $ | 005 | 5 | $ | 128 |
| right shift | 036 | 54 | right shift | 1880 |
| 5 | 006 | 6 | 5 | 170 |
| right shift | 036 | 54 | right shift | 144 |
| % | 006 | 6 | % | 160 |
| ^ | 007 | 7 | ^ | 128 |
| & | 008 | 8 | & | 120 |
| * | 009 | 9 | * | 175 |
| ( | 00A | 10 | ( | 137 |
| ) | 00B | 11 | ) | 112 |
| ~ | 029 | 41 | ~ | 96 |
| right shift | 036 | 54 | right shift | 5289 |
| ~` | 029 | 41 | ~` | 103 |
| ~` | 029 | 41 | ~` | 137 |
| `\ | 02B | 43 | `\ | 64 |
| ' | 028 | 40 | ' | 80 |
| `\ | 02B | 43 | `\ | 96 |
| / | 035 | 53 | / | 88 |
| . | 034 | 52 | . | 120 |
| , | 033 | 51 | , | 128 |
| < | 033 | 51 | < | 119 |
| > | 034 | 52 | > | 112 |
| ? | 035 | 53 | ? | 160 |
| | | 02B | 43 | | | 111 |
| " | 028 | 40 | " | 96 |
| : | 027 | 39 | : | 144 |
| right shift | 036 | 54 | right shift | 4288 |
| ; | 027 | 39 | ; | 119 |
| " | 028 | 40 | " | 89 |
| right shift | 036 | 54 | right shift | 140 |
| ' | 028 | 40 | ' | 88 |
| " | 028 | 40 | " | 144 |
| right shift | 036 | 54 | right shift | 424 |
| ~` | 029 | 41 | ~` | 145 |
| ~ | 029 | 41 | ~ | 128 |
| right shift | 036 | 54 | right shift | 512 |
| ~` | 029 | 41 | ~` | 129 |
| right shift | 036 | 54 | right shift | 89 |
| tab | 00F | 15 | tab | 144 |
| caps lock | 03A | 58 | caps lock | 129 |
| shift | 02A | 42 | shift | 128 |
| caps lock | 03A | 58 | caps lock | 135 |
| ctrl | 01D | 29 | ctrl | 185 |
| left windows | 05B | 91 | left windows | 152 |
| alt | 038 | 56 | alt | 176 |
| left windows | 05B | 91 | left windows | 96 |
| alt | 038 | 56 | alt | 127 |
| space | 039 | 57 | space | 137 |
| esc | 001 | 1 | esc | 136 |
| f1 | 03B | 59 | f1 | 121 |
| f2 | 03C | 60 | f2 | 176 |
| f3 | 03D | 61 | f3 | 96 |
| f4 | 03E | 62 | f4 | 160 |
| f1 | 03B | 59 | f1 | 136 |
| f2 | 03C | 60 | f2 | 112 |
| f2 | 03C | 60 | f2 | 128 |
| f3 | 03D | 61 | f3 | 110 |
| f4 | 03E | 62 | f4 | 120 |
| right shift | 036 | 54 | right shift | 2264 |
| f5 | 03F | 63 | f5 | 176 |
| right shift | 036 | 54 | right shift | 520 |
| f5 | 03F | 63 | f5 | 248 |
| f6 | 040 | 64 | f6 | 184 |
| right shift | 036 | 54 | right shift | 232 |
| f7 | 041 | 65 | f7 | 128 |
| f8 | 042 | 66 | f8 | 193 |
| f7 | 041 | 65 | f7 | 176 |
| f6 | 040 | 64 | f6 | 160 |
| f5 | 03F | 63 | f5 | 287 |
| f9 | 043 | 67 | f9 | 200 |
| f10 | 044 | 68 | f10 | 79 |
| / | 035 | 53 | / | 160 |
| * | 037 | 55 | * | 176 |
| - | 04A | 74 | - | 208 |
| 7 | 047 | 71 | 7 | 176 |
| 8 | 048 | 72 | 8 | 169 |
| 9 | 049 | 73 | 9 | 278 |
| + | 04E | 78 | + | 150 |
| 7 | 047 | 71 | 7 | 158 |
| 5 | 04C | 76 | 5 | 113 |
| 8 | 048 | 72 | 8 | 168 |
| 6 | 04D | 77 | 6 | 176 |
| 4 | 04B | 75 | 4 | 192 |
| 5 | 04C | 76 | 5 | 176 |
| 2 | 050 | 80 | 2 | 154 |
| 3 | 051 | 81 | 3 | 168 |
| enter | 01C | 28 | enter | 151 |
| 1 | 04F | 79 | 1 | 192 |
| 2 | 050 | 80 | 2 | 124 |
| 0 | 052 | 82 | 0 | 150 |
| decimal | 053 | 83 | decimal | 126 |
| enter | 01C | 28 | enter | 216 |
| 0 | 052 | 82 | 0 | 161 |
