1682453216.3122573: 5 (53), Duration: 0s
1682453216.3212574: 4 (52), Duration: 0s
1682453216.4383123: 3 (51), Duration: 0s
1682453216.479302: 2 (50), Duration: 0s
1682453216.6053069: 5 (53), Duration: 0s
1682453216.7652812: 4 (52), Duration: 0s
1682453216.854285: 3 (51), Duration: 0s
1682453217.0295079: 6 (54), Duration: 0s
1682453217.0388117: 5 (53), Duration: 0s
1682453217.1092634: 4 (52), Duration: 0s
1682453217.190048: 3 (51), Duration: 0s
1682453217.3093348: 2 (50), Duration: 0s
1682453217.3183427: q (81), Duration: 0s
1682453217.4248633: t (84), Duration: 0s
1682453217.5488608: r (82), Duration: 0s
1682453217.7338605: a (65), Duration: 0s
1682453217.7678616: g (71), Duration: 0s
1682453217.93386: f (70), Duration: 0s
1682453217.991861: d (68), Duration: 0s
1682453218.4288616: f (70), Duration: 0s
1682453218.4428613: d (68), Duration: 0s
1682453218.460861: s (83), Duration: 0s
1682453218.54086: a (65), Duration: 0s
1682453218.6208618: f (70), Duration: 0s
1682453218.8208642: 4 (52), Duration: 0s
1682453218.9648607: 3 (51), Duration: 0s
1682453219.0378623: q (81), Duration: 0s
1682453219.1408606: 5 (53), Duration: 0s
1682453219.2708628: 4 (52), Duration: 0s
1682453219.4048624: 3 (51), Duration: 0s
1682453219.4288602: q (81), Duration: 0s
1682453219.5888612: t (84), Duration: 0s
1682453219.6628594: g (71), Duration: 0s
1682453219.8368626: r (82), Duration: 0s
1682453219.8848617: e (69), Duration: 0s
1682453219.9248605: a (65), Duration: 0s
1682453220.0323365: g (71), Duration: 0s
1682453220.1653342: f (70), Duration: 0s
1682453220.893094: backtick (192), Duration: 0s
1682453221.1895294: backtick (192), Duration: 0s
1682453221.4855278: backtick (192), Duration: 0s
1682453221.9495518: shift (<160>), Duration: 0s
1682453222.15782: tilde (192), Duration: 0s
1682453222.4132028: tilde (192), Duration: 0s
1682453222.6287518: tilde (192), Duration: 0s
1682453222.8853686: tilde (192), Duration: 0s
1682453223.325378: backtick (192), Duration: 0s
1682453223.5414507: backtick (192), Duration: 0s
1682453223.7564933: tab (<9>), Duration: 0s
1682453224.1652305: shift (<160>), Duration: 0s
1682453224.4613523: caps_lock (<20>), Duration: 0s
1682453224.9252417: tab (<9>), Duration: 0s
1682453225.6773841: caps_lock (<20>), Duration: 0s
1682453227.782088: f (70), Duration: 0s
1682453227.893347: d (68), Duration: 0s
1682453228.013349: s (83), Duration: 0s
1682453228.0453477: a (65), Duration: 0s
1682453228.181348: f (70), Duration: 0s
1682453228.454294: 4 (52), Duration: 0s
1682453228.458293: e (69), Duration: 0s
1682453228.5024705: w (87), Duration: 0s
1682453228.5653508: a (65), Duration: 0s
1682453228.7013059: r (82), Duration: 0s
1682453228.8702078: 4 (52), Duration: 0s
1682453228.8777041: 3 (51), Duration: 0s
1682453228.9343784: 2 (50), Duration: 0s
1682453229.0774202: q (81), Duration: 0s
1682453229.19887: t (84), Duration: 0s
1682453229.2152014: r (82), Duration: 0s
1682453229.3174138: 4 (52), Duration: 0s
1682453229.4217236: a (65), Duration: 0s
1682453229.5252407: g (71), Duration: 0s
1682453229.6933503: f (70), Duration: 0s
1682453229.7113516: d (68), Duration: 0s
1682453229.7823539: s (83), Duration: 0s
1682453229.8358724: a (65), Duration: 0s
1682453229.917869: g (71), Duration: 0s
1682453230.070226: f (70), Duration: 0s
1682453230.1492841: z (90), Duration: 0s
1682453230.2529747: g (71), Duration: 0s
1682453240.4132974: backspace (<8>), Duration: 0s
1682453241.573102: s (83), Duration: 0s
1682453241.7011395: t (84), Duration: 0s
1682453241.8308012: i (73), Duration: 0s
1682453242.0210865: l (76), Duration: 0s
1682453243.253035: l (76), Duration: 0s
1682453243.412877: space (' '), Duration: 0s
1682453243.6131454: n (78), Duration: 0s
1682453243.7251065: o (79), Duration: 0s
1682453243.8327203: t (84), Duration: 0s
1682453243.9652321: space (' '), Duration: 0s
