| Key | SC Code | ASCII | Description | Duration (ms) |
| --- | ------- | ----- | ----------- | ------------- |
| ` | 029 | 41 | backtick | 112 |
| `~ | 029 | 41 | tilde | 128 |
| right shift | 036 | 54 | right shift | 392 |
| `~ | 029 | 41 | tilde | 112 |
| right shift | 036 | 54 | right shift | 321 |
| ctrl | 01D | 29 | ctrl | 192 |
| `~ | 029 | 41 | tilde | 151 |
| shift | 02A | 42 | shift | 784 |
| `~ | 029 | 41 | tilde | 160 |
| right shift | 036 | 54 | right shift | 472 |
| shift | 02A | 42 | shift | 624 |
| ` | 029 | 41 | backtick | 112 |
| right shift | 036 | 54 | right shift | 152 |
| shift | 02A | 42 | shift | 208 |
| right ctrl | 01D | 29 | right ctrl | 144 |
| ctrl | 01D | 29 | ctrl | 248 |
| menu | 05D | 93 | menu | 80 |
| menu | 05D | 93 | menu | 152 |
| left windows | 05B | 91 | left windows | 80 |
| left windows | 05B | 91 | left windows | 95 |
| alt | 038 | 56 | alt | 151 |
| alt gr | 21D | N/A | alt gr | 112 |
| shift | 02A | 42 | shift | 112 |
| \ | 056 | 86 | backslash | 88 |
| z | 02C | 44 | z | 184 |
| | | 056 | 86 | pipe | 112 |
| right shift | 036 | 54 | right shift | 280 |
| | | 02B | 43 | pipe | 144 |
| right shift | 036 | 54 | right shift | 336 |
| \ | 02B | 43 | backslash | 160 |
| " | 028 | 40 | double quote | 160 |
| right shift | 036 | 54 | right shift | 424 |
| "' | 028 | 40 | single quote | 120 |
| : | 027 | 39 | colon | 119 |
| right shift | 036 | 54 | right shift | 337 |
| l | 026 | 38 | l | 144 |
| : | 027 | 39 | colon | 119 |
| right shift | 036 | 54 | right shift | 496 |
| l | 026 | 38 | l | 168 |
| k | 025 | 37 | k | 176 |
| f | 021 | 33 | f | 144 |
| d | 020 | 32 | d | 231 |
| s | 01F | 31 | s | 88 |
| j | 024 | 36 | j | 272 |
| k | 025 | 37 | k | 182 |
| a | 01E | 30 | a | 278 |
| l | 026 | 38 | l | 232 |
| f | 021 | 33 | f | 271 |
| ; | 027 | 39 | semicolon | 235 |
| 8 | 009 | 9 | 8 | 163 |
| i | 017 | 23 | i | 164 |
| o | 018 | 24 | o | 92 |
| ; | 027 | 39 | semicolon | 177 |
| 2 | 003 | 3 | 2 | 88 |
| 8 | 009 | 9 | 8 | 272 |
| 4 | 005 | 5 | 4 | 152 |
| 0 | 00B | 11 | 0 | 225 |
| [ | 01A | 26 | left square bracket | 185 |
| 1 | 002 | 2 | 1 | 241 |
| 9 | 00A | 10 | 9 | 121 |
| 8 | 009 | 9 | 8 | 121 |
| 0 | 00B | 11 | 0 | 83 |
| - | 00C | 12 | minus | 122 |
| 1 | 002 | 2 | 1 | 118 |
| 9 | 00A | 10 | 9 | 88 |
| - | 00C | 12 | minus | 168 |
| ` | 029 | 41 | backtick | 264 |
| backspace | 00E | 14 | backspace | 248 |
| 2 | 003 | 3 | 2 | 161 |
| ` | 029 | 41 | backtick | 182 |
| 2 | 003 | 3 | 2 | 152 |
| = | 00D | 13 | equals | 256 |
| 4 | 005 | 5 | 4 | 232 |
| backspace | 00E | 14 | backspace | 214 |
| 4 | 005 | 5 | 4 | 168 |
| 2 | 003 | 3 | 2 | 184 |
| backspace | 00E | 14 | backspace | 177 |
| 4 | 005 | 5 | 4 | 136 |
| 0 | 00B | 11 | 0 | 88 |
| = | 00D | 13 | equals | 142 |
| 1 | 002 | 2 | 1 | 191 |
| backspace | 00E | 14 | backspace | 225 |
| 8 | 009 | 9 | 8 | 112 |
| 4 | 005 | 5 | 4 | 159 |
| 0 | 00B | 11 | 0 | 171 |
| - | 00C | 12 | minus | 97 |
| 3 | 004 | 4 | 3 | 99 |
| ` | 029 | 41 | backtick | 195 |
| 4 | 005 | 5 | 4 | 156 |
| 9 | 00A | 10 | 9 | 184 |
| - | 00C | 12 | minus | 184 |
