| Key | SC Code | Description | Duration (ms) |
| esc | 001 | esc | 433 |
| ~ | 029 | ~ | 51 |
| ! | 002 | ! | 386 |
| tab | 00F | tab | 376 |
| caps lock | 03A | caps lock | 370 |
| C | 02E | C | 468 |
| B | 030 | B | 469991 |
| ctrl | 01D | ctrl | 10850 |
| shift | 02A | shift | 58671 |
| c | 02E | c | 112 |
| caps lock | 03A | caps lock | 114 |
| shift | 02A | shift | 18 |
| 1 | 002 | 1 | 140 |
| tab | 00F | tab | 141 |
| f4 | 03E | f4 | 452871 |
| ctrl | 01D | ctrl | 264 |
| caps lock | 03A | caps lock | 140 |
| shift | 02A | shift | 136 |
| c | 02E | c | 156 |
| 1 | 002 | 1 | 138 |
| esc | 001 | esc | 315 |
| ` | 029 | ` | 308 |
| shift | 02A | shift | 124 |
| shift | 02A | shift | 249 |
| ` | 001 | ` | 465 |
| ! | 002 | ! | 791 |
| ` | 001 | ` | 283 |
| tab | 00F | tab | 986 |
| caps lock | 03A | caps lock | 804 |
| ! | 002 | ! | 343 |
| C | 02E | C | 1208 |
| ctrl | 01D | ctrl | 1262 |
| C | 02E | C | 43 |
| ! | 002 | ! | 66 |
| esc | 001 | esc | 452 |
| ~ | 029 | ~ | 1265 |
| ctrl | 01D | ctrl | 43 |
| shift | 02A | shift | 60 |
| alt | 038 | alt | 48 |
| left windows | 05B | left windows | 63 |
| right ctrl | 01D | right ctrl | 65 |
| right shift | 036 | right shift | 70 |
| alt gr | 21D | alt gr | 0 |
| z | 02C | z | 70 |
| x | 02D | x | 65 |
| b | 030 | b | 62 |
| n | 031 | n | 63 |
| m | 032 | m | 66 |
| , | 033 | , | 71 |
| f9 | 043 | f9 | 19 |
| f9 | 043 | f9 | 595 |
| f9 | 043 | f9 | 473 |
| shift | 02A | shift | 275 |
| shift | 02A | shift | 439 |
| f9 | 043 | f9 | 6 |
| esc | 001 | esc | 6951 |
| f9 | 043 | f9 | 13 |
| f9 | 043 | f9 | 152 |
| f9 | 043 | f9 | 187 |
| ctrl | 01D | ctrl | 12288 |
| esc | 001 | esc | 8582 |
| ~ | 029 | ~ | 253 |
| f9 | 043 | f9 | 90 |
| esc | 001 | esc | 9101 |
| R | 013 | R | 138 |
| A | 01E | A | 120 |
| Z | 02C | Z | 112 |
| E | 012 | E | 186 |
| R | 013 | R | 128 |
| space | 039 | space | 145 |
| ctrl | 01D | ctrl | 96 |
| ctrl | 01D | ctrl | 176 |
| ctrl | 01D | ctrl | 192 |
| alt | 038 | alt | 145 |
| left windows | 05B | left windows | 152 |
| ctrl | 01D | ctrl | 136 |
| alt | 038 | alt | 151 |
| shift | 02A | shift | 183 |
| h | 023 | h | 96 |
| backspace | 00E | backspace | 112 |
| r | 013 | r | 136 |
| a | 01E | a | 134 |
| z | 02C | z | 144 |
| e | 012 | e | 176 |
| r | 013 | r | 127 |
| space | 039 | space | 109 |
| h | 023 | h | 65 |
| u | 016 | u | 90 |
| n | 031 | n | 88 |
| t | 014 | t | 81 |
| s | 01F | s | 96 |
| m | 032 | m | 80 |
| a | 01E | a | 134 |
| n | 031 | n | 88 |
| space | 039 | space | 110 |
| g | 022 | g | 88 |
| o | 018 | o | 105 |
| h | 023 | h | 72 |
| backspace | 00E | backspace | 55 |
| backspace | 00E | backspace | 49 |
| h | 023 | h | 159 |
| o | 018 | o | 104 |
| s | 01F | s | 120 |
| t | 014 | t | 112 |
| space | 039 | space | 72 |
| t | 014 | t | 56 |
| backspace | 00E | backspace | 80 |
| k | 025 | k | 96 |
| backspace | 00E | backspace | 71 |
| k | 025 | k | 88 |
| e | 012 | e | 112 |
| y | 015 | y | 89 |
| p | 019 | p | 144 |
| r | 013 | r | 110 |
| e | 012 | e | 96 |
| s | 01F | s | 88 |
| s | 01F | s | 105 |
| space | 039 | space | 113 |
| a | 01E | a | 176 |
| n | 031 | n | 86 |
| d | 020 | d | 94 |
| space | 039 | space | 94 |
| r | 013 | r | 128 |
| e | 012 | e | 112 |
| v | 02F | v | 79 |
| e | 012 | e | 112 |
| r | 013 | r | 80 |
| s | 01F | s | 129 |
| e | 012 | e | 97 |
| space | 039 | space | 120 |
| f | 021 | f | 128 |
| n | 031 | n | 80 |
| enter | 01C | enter | 96 |
| enter | 01C | enter | 96 |
| right ctrl | 01D | right ctrl | 160 |
| enter | 01C | enter | 120 |
| right ctrl | 01D | right ctrl | 143 |
| enter | 01C | enter | 160 |
| caps lock | 03A | caps lock | 105 |
| caps lock | 03A | caps lock | 169 |
| A | 01E | A | 144 |
| X | 02D | X | 128 |
| ctrl | 01D | ctrl | 1160 |
| A | 01E | A | 176 |
| C | 02E | C | 104 |
| ctrl | 01D | ctrl | 887 |
| ctrl | 01D | ctrl | 334 |
| V | 02F | V | 123 |
| enter | 01C | enter | 160 |
| S | 01F | S | 192 |
| P | 019 | P | 125 |
| A | 01E | A | 96 |
| M | 032 | M | 63 |
| M | 032 | M | 81 |
| I | 017 | I | 128 |
| N | 031 | N | 112 |
| G | 022 | G | 102 |
| space | 039 | space | 119 |
| I | 017 | I | 120 |
| S | 01F | S | 78 |
| S | 01F | S | 104 |
| U | 016 | U | 88 |
| E | 012 | E | 96 |
| enter | 01C | enter | 112 |
| R | 013 | R | 128 |
| A | 01E | A | 183 |
| Z | 02C | Z | 160 |
| E | 012 | E | 152 |
| R | 013 | R | 128 |
| space | 039 | space | 128 |
| H | 023 | H | 71 |
| U | 016 | U | 100 |
| T | 014 | T | 96 |
| N | 031 | N | 80 |
| S | 01F | S | 112 |
| backspace | 00E | backspace | 64 |
| backspace | 00E | backspace | 46 |
| backspace | 00E | backspace | 80 |
| N | 031 | N | 96 |
| T | 014 | T | 80 |
| S | 01F | S | 128 |
| M | 032 | M | 95 |
| A | 01E | A | 128 |
| N | 031 | N | 88 |
| space | 039 | space | 128 |
| T | 014 | T | 88 |
| O | 018 | O | 112 |
| U | 016 | U | 87 |
| R | 013 | R | 96 |
| N | 031 | N | 112 |
| A | 01E | A | 128 |
| M | 032 | M | 86 |
| E | 012 | E | 112 |
| N | 031 | N | 77 |
| T | 014 | T | 88 |
| space | 039 | space | 136 |
| caps lock | 03A | caps lock | 152 |
| o | 018 | o | 87 |
| p | 019 | p | 104 |
| t | 014 | t | 112 |
| i | 017 | i | 102 |
| c | 02E | c | 112 |
| a | 01E | a | 128 |
| l | 026 | l | 104 |
| space | 039 | space | 129 |
| backspace | 00E | backspace | 88 |
| backspace | 00E | backspace | 56 |
| backspace | 00E | backspace | 81 |
| backspace | 00E | backspace | 80 |
| backspace | 00E | backspace | 71 |
| backspace | 00E | backspace | 56 |
| backspace | 00E | backspace | 112 |
| backspace | 00E | backspace | 96 |
| m | 032 | m | 120 |
| a | 01E | a | 135 |
| i | 017 | i | 85 |
| n | 031 | n | 110 |
| space | 039 | space | 112 |
| o | 018 | o | 96 |
| b | 030 | b | 57 |
| backspace | 00E | backspace | 64 |
| backspace | 00E | backspace | 83 |
| b | 030 | b | 88 |
| o | 018 | o | 96 |
| a | 01E | a | 137 |
| r | 013 | r | 128 |
| d | 020 | d | 128 |
| enter | 01C | enter | 96 |
| e | 012 | e | 144 |
| b | 030 | b | 104 |
| a | 01E | a | 312 |
| y | 015 | y | 80 |
| space | 039 | space | 160 |
| enter | 01C | enter | 81 |
| ctrl | 01D | ctrl | 104 |
| shift | 02A | shift | 133 |
| alt | 038 | alt | 121 |
| left windows | 05B | left windows | 135 |
| right ctrl | 01D | right ctrl | 155 |
| right shift | 036 | right shift | 156 |
| alt gr | 21D | alt gr | 0 |
| z | 02C | z | 134 |
| x | 02D | x | 129 |
| b | 030 | b | 94 |
| n | 031 | n | 91 |
| m | 032 | m | 91 |
| , | 033 | , | 92 |
| esc | 001 | esc | 22 |
| tab | 00F | tab | 1280 |
| right | 04D | right | 80 |
| right | 04D | right | 64 |
| right | 04D | right | 23 |
| right | 04D | right | 48 |
| right | 04D | right | 80 |
| up | 048 | up | 168 |
| tab | 00F | tab | 152 |
| tab | 00F | tab | 136 |
| ctrl | 01D | ctrl | 192 |
| tab | 00F | tab | 136 |
| tab | 00F | tab | 136 |
| ctrl | 01D | ctrl | 160 |
| ctrl | 01D | ctrl | 153 |
| alt | 038 | alt | 112 |
| right ctrl | 01D | right ctrl | 104 |
| tab | 00F | tab | 152 |
| ctrl | 01D | ctrl | 96 |
| tab | 00F | tab | 71 |
| shift | 02A | shift | 944 |
| right | 04D | right | 152 |
| right | 04D | right | 111 |
| right | 04D | right | 120 |
| right | 04D | right | 120 |
| right | 04D | right | 120 |
| right | 04D | right | 144 |
| right | 04D | right | 80 |
| right | 04D | right | 151 |
| right | 04D | right | 144 |
| right | 04D | right | 128 |
| left | 04B | left | 184 |
| right | 04D | right | 96 |
| right | 04D | right | 80 |
| right | 04D | right | 96 |
| right | 04D | right | 112 |
| right | 04D | right | 104 |
| right | 04D | right | 88 |
| right | 04D | right | 120 |
| right | 04D | right | 97 |
| right | 04D | right | 88 |
| right | 04D | right | 120 |
| right | 04D | right | 97 |
| right | 04D | right | 88 |
| right | 04D | right | 95 |
| left | 04B | left | 88 |
| right | 04D | right | 40 |
| right | 04D | right | 112 |
| right | 04D | right | 72 |
| right | 04D | right | 104 |
| right | 04D | right | 96 |
| right | 04D | right | 87 |
| right | 04D | right | 120 |
| right | 04D | right | 88 |
| right | 04D | right | 96 |
| right | 04D | right | 103 |
| right | 04D | right | 120 |
| right | 04D | right | 104 |
| right | 04D | right | 71 |
| f | 021 | f | 96 |
| r | 013 | r | 135 |
| a | 01E | a | 96 |
| backspace | 00E | backspace | 80 |
| backspace | 00E | backspace | 56 |
| backspace | 00E | backspace | 96 |
| r | 013 | r | 103 |
| a | 01E | a | 136 |
| z | 02C | z | 136 |
| e | 012 | e | 176 |
| r | 013 | r | 122 |
| space | 039 | space | 121 |
| h | 023 | h | 80 |
| u | 016 | u | 72 |
| n | 031 | n | 97 |
| t | 014 | t | 95 |
| down | 050 | down | 49 |
| down | 050 | down | 71 |
| down | 050 | down | 72 |
| space | 039 | space | 128 |
| s | 01F | s | 120 |
| a | 01E | a | 112 |
| p | 019 | p | 96 |
| m | 032 | m | 47 |
| m | 032 | m | 72 |
| backspace | 00E | backspace | 81 |
| backspace | 00E | backspace | 72 |
| backspace | 00E | backspace | 63 |
| backspace | 00E | backspace | 80 |
| p | 019 | p | 119 |
| a | 01E | a | 112 |
| m | 032 | m | 78 |
| m | 032 | m | 80 |
| i | 017 | i | 128 |
| n | 031 | n | 88 |
| g | 022 | g | 105 |
| space | 039 | space | 112 |
| enter | 01C | enter | 88 |
| left | 04B | left | 88 |
| left | 04B | left | 88 |
| space | 039 | space | 128 |
| shift | 02A | shift | 3 |
| alt | 038 | alt | 16 |
| left windows | 05B | left windows | 24 |
| right ctrl | 01D | right ctrl | 27 |
| right shift | 036 | right shift | 28 |
| alt gr | 21D | alt gr | 0 |
| z | 02C | z | 76 |
| x | 02D | x | 81 |
| b | 030 | b | 97 |
| n | 031 | n | 129 |
| m | 032 | m | 148 |
| , | 033 | , | 157 |
| esc | 001 | esc | 124 |
| ctrl | 01D | ctrl | 33 |
| shift | 02A | shift | 659 |
| ` | 029 | ` | 756 |
| 1 | 002 | 1 | 795 |
| ctrl | 01D | ctrl | 15 |
| shift | 02A | shift | 1207 |
| 1 | 002 | 1 | 1307 |
| ` | 029 | ` | 1315 |
| ! | 002 | ! | 4885 |
| tab | 00F | tab | 4876 |
