| Key | SC Code | ASCII | Description | Duration (ms) |
| <32> | N/A | N/A | <32> | 192 |
| '1' | N/A | N/A | '1' | 160 |
| '`' | N/A | N/A | backtick | 312 |
| '1' | N/A | N/A | '1' | 304 |
| '2' | N/A | N/A | '2' | 121 |
| '3' | N/A | N/A | '3' | 176 |
| ctrl | N/A | N/A | ctrl | 296 |
| ctrl | N/A | N/A | ctrl | 32 |
| 'c' | N/A | N/A | 'c' | 137 |
| 'c' | N/A | N/A | 'c' | 80 |
| 'c' | N/A | N/A | 'c' | 81 |
| 'c' | N/A | N/A | 'c' | 56 |
| ctrl | N/A | N/A | ctrl | 63 |
| ctrl | N/A | N/A | ctrl | 32 |
| 'c' | N/A | N/A | 'c' | 80 |
| 'c' | N/A | N/A | 'c' | 88 |
| ctrl | N/A | N/A | ctrl | 0 |
| 'v' | N/A | N/A | 'v' | 193 |
| ctrl | N/A | N/A | ctrl | 816 |
| ctrl | N/A | N/A | ctrl | 500 |
| ctrl | N/A | N/A | ctrl | 33 |
| ctrl | N/A | N/A | ctrl | 33 |
| ctrl | N/A | N/A | ctrl | 33 |
| ctrl | N/A | N/A | ctrl | 33 |
| 'c' | N/A | N/A | 'c' | 128 |
| ctrl | N/A | N/A | ctrl | 1696 |
| 'b' | N/A | N/A | 'b' | 104 |
| 'v' | N/A | N/A | 'v' | 160 |
| 'v' | N/A | N/A | 'v' | 152 |
| cmd | N/A | N/A | cmd | 656 |
| cmd | N/A | N/A | cmd | 279 |
| <32> | N/A | N/A | <32> | 136 |
| ctrl | N/A | N/A | ctrl | 7648 |
| 'c' | N/A | N/A | 'c' | 73 |
| 'c' | N/A | N/A | 'c' | 87 |
| 'c' | N/A | N/A | 'c' | 104 |
| 'c' | N/A | N/A | 'c' | 104 |
| 'c' | N/A | N/A | 'c' | 96 |
